UNIQUE_SOURCE_ID,UNIQUE_TARGET_ID,SOURCE_ID,SOURCE_NAME,SOURCE_ATTRIBUTE,SOURCE_NODE_TYPE,SOURCE_TYPE,SOURCE_PQL,SOURCE_STUDIO_ASSET_ID,SOURCE_STUDIO_ASSET_TYPE,TARGET_ID,TARGET_NAME,TARGET_ATTRIBUTE,TARGET_NODE_TYPE,TARGET_STUDIO_ASSET_ID,TARGET_STUDIO_ASSET_TYPE,DATA_SOURCE_ID,KNOWLEDGE_MODEL_KEY,KNOWLEDGE_MODEL_ID,DATA_MODEL_ID,DATA_POOL_ID,UNIQUE_KEY
25d4909d-d74a-45ca-96af-0d3044dd6e00.average_age,fa06f3b7_1ced_4311_b69f_84bdcbc611d4.getkpi-dummy&fa06f3b7_1ced_4311_b69f_84bdcbc611d4.getkpi_dummy.1,average_age,average_age,,,KPI,,25d4909d-d74a-45ca-96af-0d3044dd6e00,KNOWLEDGE_MODEL,1,getKPI_dummy (1),Module 1 (getKPIs),ACTION_FLOW,fa06f3b7_1ced_4311_b69f_84bdcbc611d4.getkpi-dummy&fa06f3b7_1ced_4311_b69f_84bdcbc611d4,ACTION_FLOW,,dm_dummy_peopledm-km,25d4909d-d74a-45ca-96af-0d3044dd6e00,13483c35-4b6a-4e90-b06c-9230b25e7b02,c840c791-823a-4d34-9571-f39dae182078,13483c35-4b6a-4e90-b06c-9230b25e7b02.average_age.
59b95b69-c4b2-4696-b4a7-b1a4cf1235b5.data_connections.data_connection_id,08ae264c_d22b_4da9_b80f_c25fc9eb004a.action-flow-test&08ae264c_d22b_4da9_b80f_c25fc9eb004a.action_flow_test.1,data_connections.data_connection_id,DATA_CONNECTIONS,DATA_CONNECTION_ID,ATTRIBUTES,KM_COLUMN,,59b95b69-c4b2-4696-b4a7-b1a4cf1235b5,KNOWLEDGE_MODEL,1,action_flow_test (1),Module 1 (getRows),ACTION_FLOW,08ae264c_d22b_4da9_b80f_c25fc9eb004a.action-flow-test&08ae264c_d22b_4da9_b80f_c25fc9eb004a,ACTION_FLOW,,dm_data_lineage_test-km,59b95b69-c4b2-4696-b4a7-b1a4cf1235b5,1e846159-f3a9-42a3-9d91-b3c7c0c7f904,ebdcfc35-b1c0-4a8c-bf5c-ae3c5f995bab,1e846159-f3a9-42a3-9d91-b3c7c0c7f904.data_connections.data_connection_id
59b95b69-c4b2-4696-b4a7-b1a4cf1235b5.data_connections.data_connection_type,08ae264c_d22b_4da9_b80f_c25fc9eb004a.action-flow-test&08ae264c_d22b_4da9_b80f_c25fc9eb004a.action_flow_test.1,data_connections.data_connection_type,DATA_CONNECTIONS,DATA_CONNECTION_TYPE,ATTRIBUTES,KM_COLUMN,,59b95b69-c4b2-4696-b4a7-b1a4cf1235b5,KNOWLEDGE_MODEL,1,action_flow_test (1),Module 1 (getRows),ACTION_FLOW,08ae264c_d22b_4da9_b80f_c25fc9eb004a.action-flow-test&08ae264c_d22b_4da9_b80f_c25fc9eb004a,ACTION_FLOW,,dm_data_lineage_test-km,59b95b69-c4b2-4696-b4a7-b1a4cf1235b5,1e846159-f3a9-42a3-9d91-b3c7c0c7f904,ebdcfc35-b1c0-4a8c-bf5c-ae3c5f995bab,1e846159-f3a9-42a3-9d91-b3c7c0c7f904.data_connections.data_connection_type
59b95b69-c4b2-4696-b4a7-b1a4cf1235b5.count_table__schedule_level_logs,08ae264c_d22b_4da9_b80f_c25fc9eb004a.action-flow-test&08ae264c_d22b_4da9_b80f_c25fc9eb004a.action_flow_test.3,count_table__schedule_level_logs,COUNT_TABLE__SCHEDULE_LEVEL_LOGS,,,KPI,,59b95b69-c4b2-4696-b4a7-b1a4cf1235b5,KNOWLEDGE_MODEL,3,action_flow_test (3),Module 3 (getKPIs),ACTION_FLOW,08ae264c_d22b_4da9_b80f_c25fc9eb004a.action-flow-test&08ae264c_d22b_4da9_b80f_c25fc9eb004a,ACTION_FLOW,,dm_data_lineage_test-km,59b95b69-c4b2-4696-b4a7-b1a4cf1235b5,1e846159-f3a9-42a3-9d91-b3c7c0c7f904,ebdcfc35-b1c0-4a8c-bf5c-ae3c5f995bab,1e846159-f3a9-42a3-9d91-b3c7c0c7f904.count_table__schedule_level_logs.
59b95b69-c4b2-4696-b4a7-b1a4cf1235b5.count_table__lineage_mapping,08ae264c_d22b_4da9_b80f_c25fc9eb004a.action-flow-test&08ae264c_d22b_4da9_b80f_c25fc9eb004a.action_flow_test.3,count_table__lineage_mapping,COUNT_TABLE__LINEAGE_MAPPING,,,KPI,,59b95b69-c4b2-4696-b4a7-b1a4cf1235b5,KNOWLEDGE_MODEL,3,action_flow_test (3),Module 3 (getKPIs),ACTION_FLOW,08ae264c_d22b_4da9_b80f_c25fc9eb004a.action-flow-test&08ae264c_d22b_4da9_b80f_c25fc9eb004a,ACTION_FLOW,,dm_data_lineage_test-km,59b95b69-c4b2-4696-b4a7-b1a4cf1235b5,1e846159-f3a9-42a3-9d91-b3c7c0c7f904,ebdcfc35-b1c0-4a8c-bf5c-ae3c5f995bab,1e846159-f3a9-42a3-9d91-b3c7c0c7f904.count_table__lineage_mapping.
59b95b69-c4b2-4696-b4a7-b1a4cf1235b5.count_table__unique_job_executions,08ae264c_d22b_4da9_b80f_c25fc9eb004a.action-flow-test&08ae264c_d22b_4da9_b80f_c25fc9eb004a.action_flow_test.3,count_table__unique_job_executions,COUNT_TABLE__UNIQUE_JOB_EXECUTIONS,,,KPI,,59b95b69-c4b2-4696-b4a7-b1a4cf1235b5,KNOWLEDGE_MODEL,3,action_flow_test (3),Module 3 (getKPIs),ACTION_FLOW,08ae264c_d22b_4da9_b80f_c25fc9eb004a.action-flow-test&08ae264c_d22b_4da9_b80f_c25fc9eb004a,ACTION_FLOW,,dm_data_lineage_test-km,59b95b69-c4b2-4696-b4a7-b1a4cf1235b5,1e846159-f3a9-42a3-9d91-b3c7c0c7f904,ebdcfc35-b1c0-4a8c-bf5c-ae3c5f995bab,1e846159-f3a9-42a3-9d91-b3c7c0c7f904.count_table__unique_job_executions.
59b95b69-c4b2-4696-b4a7-b1a4cf1235b5.ratio,08ae264c_d22b_4da9_b80f_c25fc9eb004a.action-flow-test&08ae264c_d22b_4da9_b80f_c25fc9eb004a.action_flow_test.3,ratio,RATIO,,,KPI,,59b95b69-c4b2-4696-b4a7-b1a4cf1235b5,KNOWLEDGE_MODEL,3,action_flow_test (3),Module 3 (getKPIs),ACTION_FLOW,08ae264c_d22b_4da9_b80f_c25fc9eb004a.action-flow-test&08ae264c_d22b_4da9_b80f_c25fc9eb004a,ACTION_FLOW,,dm_data_lineage_test-km,59b95b69-c4b2-4696-b4a7-b1a4cf1235b5,1e846159-f3a9-42a3-9d91-b3c7c0c7f904,ebdcfc35-b1c0-4a8c-bf5c-ae3c5f995bab,1e846159-f3a9-42a3-9d91-b3c7c0c7f904.ratio.
59b95b69-c4b2-4696-b4a7-b1a4cf1235b5.count_table__extraction_step_tables,08ae264c_d22b_4da9_b80f_c25fc9eb004a.action-flow-test&08ae264c_d22b_4da9_b80f_c25fc9eb004a.action_flow_test.3,count_table__extraction_step_tables,COUNT_TABLE__EXTRACTION_STEP_TABLES,,,KPI,,59b95b69-c4b2-4696-b4a7-b1a4cf1235b5,KNOWLEDGE_MODEL,3,action_flow_test (3),Module 3 (getKPIs),ACTION_FLOW,08ae264c_d22b_4da9_b80f_c25fc9eb004a.action-flow-test&08ae264c_d22b_4da9_b80f_c25fc9eb004a,ACTION_FLOW,,dm_data_lineage_test-km,59b95b69-c4b2-4696-b4a7-b1a4cf1235b5,1e846159-f3a9-42a3-9d91-b3c7c0c7f904,ebdcfc35-b1c0-4a8c-bf5c-ae3c5f995bab,1e846159-f3a9-42a3-9d91-b3c7c0c7f904.count_table__extraction_step_tables.
59b95b69-c4b2-4696-b4a7-b1a4cf1235b5.count_table__data_pool_columns,08ae264c_d22b_4da9_b80f_c25fc9eb004a.action-flow-test&08ae264c_d22b_4da9_b80f_c25fc9eb004a.action_flow_test.3,count_table__data_pool_columns,COUNT_TABLE__DATA_POOL_COLUMNS,,,KPI,,59b95b69-c4b2-4696-b4a7-b1a4cf1235b5,KNOWLEDGE_MODEL,3,action_flow_test (3),Module 3 (getKPIs),ACTION_FLOW,08ae264c_d22b_4da9_b80f_c25fc9eb004a.action-flow-test&08ae264c_d22b_4da9_b80f_c25fc9eb004a,ACTION_FLOW,,dm_data_lineage_test-km,59b95b69-c4b2-4696-b4a7-b1a4cf1235b5,1e846159-f3a9-42a3-9d91-b3c7c0c7f904,ebdcfc35-b1c0-4a8c-bf5c-ae3c5f995bab,1e846159-f3a9-42a3-9d91-b3c7c0c7f904.count_table__data_pool_columns.
59b95b69-c4b2-4696-b4a7-b1a4cf1235b5.count_table__data_job_level_logs,08ae264c_d22b_4da9_b80f_c25fc9eb004a.action-flow-test&08ae264c_d22b_4da9_b80f_c25fc9eb004a.action_flow_test.3,count_table__data_job_level_logs,COUNT_TABLE__DATA_JOB_LEVEL_LOGS,,,KPI,,59b95b69-c4b2-4696-b4a7-b1a4cf1235b5,KNOWLEDGE_MODEL,3,action_flow_test (3),Module 3 (getKPIs),ACTION_FLOW,08ae264c_d22b_4da9_b80f_c25fc9eb004a.action-flow-test&08ae264c_d22b_4da9_b80f_c25fc9eb004a,ACTION_FLOW,,dm_data_lineage_test-km,59b95b69-c4b2-4696-b4a7-b1a4cf1235b5,1e846159-f3a9-42a3-9d91-b3c7c0c7f904,ebdcfc35-b1c0-4a8c-bf5c-ae3c5f995bab,1e846159-f3a9-42a3-9d91-b3c7c0c7f904.count_table__data_job_level_logs.
59b95b69-c4b2-4696-b4a7-b1a4cf1235b5.count_table__data_model_tables,08ae264c_d22b_4da9_b80f_c25fc9eb004a.action-flow-test&08ae264c_d22b_4da9_b80f_c25fc9eb004a.action_flow_test.3,count_table__data_model_tables,COUNT_TABLE__DATA_MODEL_TABLES,,,KPI,,59b95b69-c4b2-4696-b4a7-b1a4cf1235b5,KNOWLEDGE_MODEL,3,action_flow_test (3),Module 3 (getKPIs),ACTION_FLOW,08ae264c_d22b_4da9_b80f_c25fc9eb004a.action-flow-test&08ae264c_d22b_4da9_b80f_c25fc9eb004a,ACTION_FLOW,,dm_data_lineage_test-km,59b95b69-c4b2-4696-b4a7-b1a4cf1235b5,1e846159-f3a9-42a3-9d91-b3c7c0c7f904,ebdcfc35-b1c0-4a8c-bf5c-ae3c5f995bab,1e846159-f3a9-42a3-9d91-b3c7c0c7f904.count_table__data_model_tables.
59b95b69-c4b2-4696-b4a7-b1a4cf1235b5.count_table__unique_task_executions,08ae264c_d22b_4da9_b80f_c25fc9eb004a.action-flow-test&08ae264c_d22b_4da9_b80f_c25fc9eb004a.action_flow_test.3,count_table__unique_task_executions,COUNT_TABLE__UNIQUE_TASK_EXECUTIONS,,,KPI,,59b95b69-c4b2-4696-b4a7-b1a4cf1235b5,KNOWLEDGE_MODEL,3,action_flow_test (3),Module 3 (getKPIs),ACTION_FLOW,08ae264c_d22b_4da9_b80f_c25fc9eb004a.action-flow-test&08ae264c_d22b_4da9_b80f_c25fc9eb004a,ACTION_FLOW,,dm_data_lineage_test-km,59b95b69-c4b2-4696-b4a7-b1a4cf1235b5,1e846159-f3a9-42a3-9d91-b3c7c0c7f904,ebdcfc35-b1c0-4a8c-bf5c-ae3c5f995bab,1e846159-f3a9-42a3-9d91-b3c7c0c7f904.count_table__unique_task_executions.
